Artillery Charm I ; Artillery +1
Insect Charm III ; Entomologist +3
Intimidator Charm I ; Intimidator +1
Intimidator Charm II ; Intimidator +2
Intimidator Charm III ; Intimidator +3
Ice Charm I ; Ice Resistance +1
Ice Charm II ; Ice Resistance +1
Ice Charm III ; Ice Resistance +1
Impact Charm I ; Flinch Free +1
Impact Charm II ; Flinch Free +2
Impact Charm III ; Flinch Free +3
Immobilize Charm I ; Paralysis Attack +1
Immobilize Charm II ; Paralysis Attack +2
Immobilize Charm III ; Paralysis Attack +3
Immobilize Charm IV ; Paralysis Attack +4
Ironside Charm I ; Guard +1
Ironside Charm II ; Guard +2
Ironside Charm III ; Guard +3
Ironside Charm IV ; Guard +4
Ironside Charm V ; Guard +5
Grit Charm I ; Heroics +1
Grit Charm II ; Heroics +2
Grit Charm III ; Heroics +3
Grit Charm IV ; Heroics +4
KO Charm I ; Slugger +1
KO Charm II ; Slugger +2
KO Charm III ; Slugger +3
Leaping Charm I ; Evade Extender +1
Leaping Charm II ; Evade Extender +2
Light Eater's Charm  ; Free Meal +1
Marathon Charm I ; Marathon Runner +1
Marathon Charm II ; Marathon Runner +2
Marathon Charm III ; Marathon Runner +3
Master's Charm I ; Critical Eye +1
Master's Charm II ; Critical Eye +2
Master's Charm III ; Critical Eye +3
Master's Charm IV ; Critical Eye +4
Maintenance Charm I ; Tool Specialist +1
Maintenance Charm II ; Tool Specialist +2
Maintenance Charm III ; Tool Specialist +3
Miasma Charm I ; Effluvia Resistance +1
Miasma Charm II ; Effluvia Resistance +2
Miasma Charm III ; Effluvia Resistance +3
Mighty Charm I ; Maximum Might +1
Mighty Charm II ; Maximum Might +2
Mud Puppy Charm  ; Muck Resistance +1 ; Leap of Faith +1
Mushroom Charm I ; Mushroomancer +1
Mushroom Charm II ; Mushroomancer +2
Mirewalker Charm I ; Aquatic/Polar Mobility +1
Mirewalker Charm II ; Aquatic/Polar Mobility +2
Mirewalker Charm III ; Aquatic/Polar Mobility +3
Normal Shots Charm  ; Normal Shots +1
Normal Shots Charm II ; Normal Shots +2
Para Coating Charm  ; Para Functionality +1
Paralysis Charm I ; Paralysis Resistance +1
Paralysis Charm II ; Paralysis Resistance +2
Paralysis Charm III ; Paralysis Resistance +3
Penetration Charm  ; Piercing Shots +1
Penetration Charm II ; Piercing Shots +2
Phoenix Charm I ; Coalescence +1
Phoenix Charm II ; Coalescence +2
Poison Coating Charm  ; Poison Functionality +1
Poison Charm I ; Poison Resistance +1
Poison Charm II ; Poison Resistance +2
Poison Charm III ; Poison Resistance +3
Power Charm I ; Latent Power +1
Procurer's Charm  ; Pro Transporter +1 ; Honey Hunter +1
Performer's Charm  ; Horn Maestro +1
Rally Charm I ; Palico Rally +1
Rally Charm II ; Palico Rally +2
Rally Charm III ; Palico Rally +3
Rally Charm IV ; Palico Rally +4
Rally Charm V ; Palico Rally +5
Recovery Charm I ; Recovery Up +1
Recovery Charm II ; Recovery Up +2
Recovery Charm III ; Recovery Up +3
Rider's Charm  ; Master Mounter +1 ; Jump Master +1
Shock Charm I ; Thunder Attack +1
Shock Charm II ; Thunder Attack +2
Shock Charm III ; Thunder Attack +3
Shock Charm IV ; Thunder Attack +4
Shock Charm V ; Thunder Attack +5
Sheath Charm I ; Quick Sheath +1
Sheath Charm II ; Quick Sheath +2
Sheath Charm III ; Quick Sheath +3
Sleep Charm I ; Sleep Resistance +1
Sleep Charm II ; Sleep Resistance +3
Sleep Charm III ; Sleep Resistance +3
Sleep Coating Charm  ; Sleep Functionality +1
Slinger Charm I ; Slinger Capacity +1
Slinger Charm II ; Slinger Capacity +2
Slinger Charm III ; Slinger Capacity +3
Speed Heal Charm I ; Recovery Speed +1
Speed Heal Charm II ; Recovery Speed +2
Speed Heal Charm III ; Recovery Speed +3
Special Shot Charm I ; Special Ammo Boost +1
Special Shot Charm II ; Special Ammo Boost +2
Stealth Charm I ; Stealth +1
Stealth Charm II ; Stealth +2
Stealth Charm III ; Stealth +3
Smoke Charm I ; Survival Expert +1
Smoke Charm II ; Survival Expert +2
Smoke Charm III ; Survival Expert +3
Stun Charm I ; Stun Resistance +1
Stun Charm II ; Stun Resistance +2
Stun Charm III ; Stun Resistance +3
Surveyor's Charm Scout fly  ; Scoutfly Range Up +1 ; Scholar +1
Surge Charm I ; Stamina Surge +1
Surge Charm II ; Stamina Surge +2
Tranq Charm I ; Sleep Attack +1
Tranq Charm II ; Sleep Attack +2
Tranq Charm III ; Sleep Attack +3
Tranq Charm IV ; Sleep Attack +4
Tremor Charm I ; Tremor Resistance +1
Tremor Charm II ; Tremor Resistance +2
Tremor Charm III ; Tremor Resistance +3
Tracker Charm  ; Scent Hound +1
Trickshot Charm  ; Dungmaster +1 ; Blindsider +1
Trickshot Charm II ; Special Ammo Boost +2
Thunder Charm I ; Thunder Resistance +1
Thunder Charm II ; Thunder Resistance +2
Thunder Charm III ; Thunder Resistance +3
Unscathed Charm I ; Peak Performance +1
Venom Charm I ; Poison Attack +1
Venom Charm II ; Poison Attack +2
Venom Charm III ; Poison Attack +3
Venom Charm IV ; Poison Attack +4
Water Charm I ; Water Resistance +1
Water Charm II ; Water Resistance +2
Water Charm III ; Water Resistance +3
Whetstone Charm I ; Speed Sharpening +1
Whetstone Charm II ; Speed Sharpening +2
Whetstone Charm III ; Speed Sharpening +3
Windproof Charm I ; Windproof +1
Windproof Charm II ; Windproof +2
Windproof Charm III ; Windproof +3
Windproof Charm IV ; Windproof +4
Wyrmsbane Charm I ; Dragon Attack +1
Wyrmsbane Charm II ; Dragon Attack +2
Wyrmsbane Charm III ; Dragon Attack +3
Wyrmslayer Charm  ; Elderseal Boost +1 ; Dragon Attack +1
Razor Sharp Charm  ; Razor Sharp/Spare Shot +1
Adamantine Charm  ; Non-Elemental Boost +1 ; Bludgeoner +1
